################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sdDcCmMnN -file -P -F60 -oz -f /var/log/collectl
# Host:       vm0  DaemonOpts:
# Booted:     1616430681.98 [20210322-12:31:21]
# Distro:     debian stretch/sid, Ubuntu 16.04.1 LTS  Platform: PowerEdge C8220
# Date:       20210322-173903  Secs: 1616449143 TZ: -0400
# SubSys:     dDcCmMnN Options: z Interval: 1 NumCPUs: 40 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.000 Cores: 10  Siblings: 20 Nodes: 2
# Kernel:     4.4.0-204-generic  Memory: 263927764 kB  Swap: 3145724 kB
# NumDisks:   3 DiskNames: sda sdb dm-0
# NumNets:    5 NetNames: lo:?? enp130s0f0:10000 eno2:?? eno1:1000 enp130s0f1:??
# SCSI:       DA:4:00:00:00 DA:5:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20210322 17:39:05 0 0 0 0 0 0 0 100 0 0 0 990 1177 4 1200 0 0.00 0.13 0.21 0 0 263927764 44074680 219853084 9816 349456 35854952 1317720 78604 5917924 0 21047092 3652 3145724 0 3145724 0 0 104 0 0 22062604 0 16 1544 0 0 0 0 107904 361 109 44 20 0 0 0 0 0 0 4 4 0 16 16 0 2 2
20210322 17:39:06 0 0 0 0 0 0 0 100 0 0 0 1218 1486 5 1200 1 0.00 0.13 0.21 0 0 263927764 44074128 219853636 9816 349464 35854968 1317724 78644 5918088 0 21047092 3652 3145724 0 3145724 0 0 200 0 0 22062620 0 184 2898 0 0 0 0 107904 401 148 54 25 0 0 0 0 0 0 15 15 0 184 184 0 30 30
20210322 17:39:07 0 0 0 0 0 0 0 100 0 0 0 750 970 1 1198 0 0.00 0.13 0.21 0 0 263927764 44073608 219854156 9816 349464 35854968 1317724 78060 5917516 0 21047092 3652 3145724 0 3145724 0 0 216 0 0 22062620 0 0 2087 0 0 0 0 107904 302 51 27 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20210322 17:39:08 0 0 0 0 0 0 0 100 0 0 0 915 1142 0 1198 0 0.00 0.12 0.21 0 0 263927764 44074032 219853732 9816 349464 35854968 1317724 78060 5917372 0 21047092 3652 3145724 0 3145724 0 0 216 0 0 22062628 0 8 2832 0 0 0 0 107904 321 43 34 5 0 0 0 0 0 0 6 6 0 8 8 0 0 0
20210322 17:39:09 0 0 0 0 0 0 0 100 0 0 0 626 858 0 1198 0 0.00 0.12 0.21 1 0 263927764 44074092 219853672 9816 349464 35854968 1317724 78060 5917448 0 21047092 3652 3145724 0 3145724 0 0 216 0 0 22062628 0 0 89 0 0 0 0 107904 278 23 23 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0
20210322 17:39:10 0 0 0 0 0 0 0 100 0 0 0 557 872 0 1198 0 0.00 0.12 0.21 0 0 263927764 44073824 219853940 9816 349464 35854968 1317732 78060 5917504 0 21047092 3652 3145724 0 3145724 0 0 216 0 0 22062628 0 0 88 0 0 0 0 107904 305 20 23 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20210322 17:39:11 0 0 0 0 0 0 0 100 0 0 0 671 944 0 1198 0 0.00 0.12 0.21 0 0 263927764 44073760 219854004 9816 349464 35854968 1317732 78060 5917504 0 21047092 3652 3145724 0 3145724 0 0 216 0 0 22062628 0 0 202 0 0 0 0 107904 280 36 29 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20210322 17:39:12 0 0 0 0 0 0 0 100 0 0 0 641 1007 0 1198 0 0.00 0.12 0.21 0 0 263927764 44073752 219854012 9816 349476 35854968 1317732 78060 5917576 0 21047092 3652 3145724 0 3145724 0 0 220 0 0 22062628 0 32 803 0 0 0 0 107904 286 21 23 2 0 0 0 0 0 0 6 6 0 32 32 0 4 4
20210322 17:39:13 0 0 0 0 0 0 0 100 0 0 0 660 965 0 1198 0 0.00 0.12 0.21 0 0 263927764 44073596 219854168 9816 349476 35854968 1317732 78060 5917612 0 21047092 3652 3145724 0 3145724 0 0 220 0 0 22062628 0 0 202 0 0 0 0 107904 303 34 39 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20210322 17:39:14 0 0 0 0 0 0 0 100 0 0 0 636 978 0 1197 0 0.00 0.12 0.21 0 0 263927764 44073580 219854184 9816 349476 35854976 1317732 78060 5917660 0 21047092 3652 3145724 0 3145724 0 0 228 0 0 22062628 0 12 213 0 0 0 0 107904 301 43 36 7 0 0 0 0 0 0 9 9 0 12 12 0 0 0
